CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2020;Facultad de Ciencias Sociales y del Trabajo;6-Relaciones Laborales;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Filosofía y Letras;5-Historia;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Filosofía y Letras;5-Historia del Arte;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Ciencias;5-Licenciado en Geología;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Filosofía y Letras;5-Licenciado en Filosofía;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;04/09/2022
2020;Facultad de Ciencias;2-Biología Molecular y Celular;Máster;21;19;30;19;0;0;0;0;;1;1188.00;0.00;1.00;98.94;96.37;95.96;;;04/09/2022
2020;Facultad de Ciencias;2-Física y Tecnologías Físicas;Máster;14;14;30;14;0;0;0;0;1;1;840.00;0.00;1.00;100.00;100.00;100.00;;;04/09/2022
2020;Facultad de Filosofía y Letras;2-Gestión del Patrimonio Cultural;Máster;35;29;35;25;0;0;0;0;2;0;1836.00;0.00;1.24;97.72;88.56;93.98;;;04/09/2022
2020;Facultad de Filosofía y Letras;2-Tec.Información Geográfica para Ordenación Territorio: Sig/Teled;Máster;31;24;25;20;0;0;0;0;;0;1624.50;0.00;1.10;99.13;84.61;98.04;;;04/09/2022
2020;Facultad de Ciencias de la Salud;2-Gerontología Social;Máster;38;34;36;36;0;0;0;0;;0;2101.00;0.00;1.03;100.00;99.00;99.45;;;04/09/2022
2020;Facultad de Ciencias Sociales y del Trabajo;2-Relaciones de Género;Máster;37;29;30;24;0;0;0;0;2;0;1842.00;0.00;1.17;100.00;89.25;96.00;;;04/09/2022
2020;Facultad de Economía y Empresa;2-Contabilidad y finanzas;Máster;21;7;27;8;0;0;0;0;1;0;712.00;0.00;1.40;94.44;76.40;93.08;;;04/09/2022
2020;Facultad de Economía y Empresa;2-Economía;Máster;24;19;30;19;0;0;0;0;1;0;1251.00;0.00;1.12;99.22;91.85;97.44;;;04/09/2022
2020;Facultad de Medicina;2-Iniciación a la investigación en Medicina;Máster;64;60;60;60;0;0;0;41;;0;3490.00;205.00;1.05;100.00;98.17;98.04;;;04/09/2022
2020;Facultad de Veterinaria;2-Nutrición animal;Máster;21;0;;20;0;0;0;0;1;0;1260.00;0.00;2.00;95.24;95.24;100.00;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;2-Ingeniería biomédica;Máster;52;22;30;27;0;0;0;1;3;1;1844.00;45.00;1.92;99.30;94.05;97.19;;;04/09/2022
2020;Facultad de Empresa y Gestión Pública;2-Dirección y planificación del turismo;Máster;39;22;30;19;0;0;0;4;6;2;1572.00;36.00;1.84;95.49;79.13;84.98;;;04/09/2022
2020;Facultad de Ciencias;4-Movilidad para máster;Movilidad de entrada;4;0;;;0;0;;0;1;0;73.00;0.00;;;;;;;04/09/2022
2020;Facultad de Filosofía y Letras;4-Movilidad para máster;Movilidad de entrada;4;0;;;0;0;;0;;0;67.00;0.00;;;;;;;04/09/2022
2020;Facultad de Veterinaria;4-Movilidad para máster;Movilidad de entrada;1;0;;;0;0;;0;;0;60.00;0.00;;;;;;;04/09/2022
2020;Facultad de Economía y Empresa;4-Movilidad para máster;Movilidad de entrada;3;0;;;0;0;;0;;0;102.00;0.00;;;;;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;4-Movilidad para máster;Movilidad de entrada;15;0;;;0;0;;0;;0;351.50;0.00;;;;;;;04/09/2022
2020;Escuela Politécnica Superior;4-Movilidad para máster;Movilidad de entrada;1;0;;;0;0;;0;;0;6.00;0.00;;;;;;;04/09/2022
2020;Facultad de Empresa y Gestión Pública;4-Movilidad para máster;Movilidad de entrada;5;0;;;0;0;;0;;0;243.00;0.00;;;;;;;04/09/2022
2020;Facultad de Ciencias de la Salud y del Deporte;4-Movilidad para máster;Movilidad de entrada;1;0;;;0;0;;0;;0;30.00;0.00;;100.00;100.00;;;;04/09/2022
2020;Facultad de Ciencias;2-Materiales nanoestructurados para aplicaciones nanotecnológicas;Máster;17;16;25;15;0;0;0;0;2;0;965.00;0.00;1.13;100.00;97.10;97.40;;;04/09/2022
2020;Facultad de Economía y Empresa;2-Sociología de las Políticas Públicas y Sociales;Máster;22;16;25;11;0;0;0;0;1;0;1022.00;0.00;1.00;99.12;87.67;99.40;;;04/09/2022
2020;Facultad de Educación;2-Aprendizaje a lo largo de la vida: Iniciación a la investigación;Máster;37;19;40;18;0;0;0;5;;0;1208.00;111.00;1.50;97.30;74.67;93.39;;;04/09/2022
2020;Facultad de Filosofía y Letras;2-Investigación y Estudios Avanzados en Historia;Máster;19;14;40;10;0;0;0;0;;0;918.00;0.00;1.22;100.00;78.43;93.46;;;04/09/2022
2020;Facultad de Filosofía y Letras;2-Estudios Avanzados en Historia del Arte;Máster;16;8;35;14;0;0;0;1;3;0;564.00;30.00;1.50;100.00;95.74;91.19;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;2-Energías Renovables y Eficiencia Energética;Máster;64;33;36;19;0;0;0;11;15;0;2181.00;303.00;2.00;94.35;84.96;99.26;;;04/09/2022
2020;Facultad de Filosofía y Letras;2-Historia Contemporánea;Máster;33;22;40;15;0;0;0;0;;0;1515.00;0.00;1.21;100.00;79.60;93.26;;;04/09/2022
2020;Facultad de Filosofía y Letras;2-Ordenación Territorial y Medioambiental;Máster;19;15;25;9;0;0;0;0;;0;912.00;0.00;1.11;100.00;80.26;97.83;;;04/09/2022
2020;Escuela de Ingeniería y Arquitectura;2-Ingeniería Electrónica;Máster;25;13;19;14;0;0;0;13;1;0;871.00;314.00;1.60;95.88;80.81;91.06;;;04/09/2022
2020;Facultad de Educación;2-Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;649;512;504;461;0;0;0;17;;0;31261.00;129.00;1.16;99.17;93.25;97.53;;;04/09/2022
