CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2019;Huesca;Grado: Nutrición Humana y Dietética;Grado;Abandono Voluntario;Mujeres;0;11;3;0;;;12/09/2021
2019;Huesca;Grado: Nutrición Humana y Dietética;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;12/09/2021
2019;Huesca;Grado: Nutrición Humana y Dietética;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;12/09/2021
2019;Huesca;Grado: Nutrición Humana y Dietética;Grado;Graduado;Hombres;11;0;0;0;4.60;92.58;12/09/2021
2019;Huesca;Grado: Nutrición Humana y Dietética;Grado;Graduado;Mujeres;47;0;0;0;4.59;94.00;12/09/2021
2019;Huesca;Grado: Nutrición Humana y Dietética;Grado;Incumple Régimen de permanencia;Mujeres;0;1;0;0;;;12/09/2021
2019;Huesca;Grado: Nutrición Humana y Dietética;Grado;Traslado a otra Universidad;Hombres;0;0;0;1;;;12/09/2021
2019;Huesca;Grado: Nutrición Humana y Dietética;Grado;Traslado a otra Universidad;Mujeres;0;0;0;3;;;12/09/2021
2019;Huesca;Grado: Odontología;Grado;Graduado;Hombres;8;0;0;0;5.25;88.48;12/09/2021
2019;Huesca;Grado: Odontología;Grado;Graduado;Mujeres;22;0;0;0;5.28;97.51;12/09/2021
2019;Huesca;Grado: Odontología;Grado;Traslado a otra Universidad;Hombres;0;0;0;1;;;12/09/2021
2019;Huesca;Grado: Odontología;Grado;Traslado a otra Universidad;Mujeres;0;0;0;3;;;12/09/2021
2019;Huesca;Máster: Dirección y planificación del turismo;Máster;Abandono Voluntario;Hombres;0;5;2;0;;;12/09/2021
2019;Huesca;Máster: Dirección y planificación del turismo;Máster;Graduado;Hombres;5;0;0;0;2.60;94.39;12/09/2021
2019;Huesca;Máster: Dirección y planificación del turismo;Máster;Graduado;Mujeres;17;0;0;0;2.06;78.60;12/09/2021
2019;Huesca;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Máster;Abandono Voluntario;Mujeres;0;1;1;0;;;12/09/2021
2019;Huesca;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Máster;Graduado;Hombres;2;0;0;0;1.00;100.00;12/09/2021
2019;Huesca;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Máster;Graduado;Mujeres;15;0;0;0;1.00;100.00;12/09/2021
2019;Huesca;Máster: Evaluación y Entrenamiento Físico para la Salud;Máster;Graduado;Hombres;6;0;0;0;1.00;100.00;12/09/2021
2019;Huesca;Máster: Evaluación y Entrenamiento Físico para la Salud;Máster;Graduado;Mujeres;10;0;0;0;1.30;97.09;12/09/2021
