CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2021;Escuela de Ingeniería y Arquitectura;1-Ingeniería de Tecnologías Industriales;Grado;696;168;180;106;0;0;0;141;13;70;39461.00;643.00;5.23;76.40;61.61;80.41;;;16/04/2023
2021;Escuela de Ingeniería y Arquitectura;1-Ingeniería de Tecnologías y Servicios de Telecomunicación;Grado;261;83;90;24;0;0;0;55;;8;14692.00;1045.00;4.95;70.05;55.46;79.41;;;16/04/2023
2021;Escuela de Ingeniería y Arquitectura;1-Ingeniería Electrica;Grado;213;46;85;27;0;0;0;51;7;8;10731.00;413.00;5.68;74.78;55.88;76.22;;;16/04/2023
2021;Escuela de Ingeniería y Arquitectura;1-Ingeniería Electrónica y Automática;Grado;360;88;120;40;0;0;0;87;8;10;19181.00;1031.00;5.65;70.72;53.57;77.95;;;16/04/2023
2021;Escuela Universitaria Politécnica de Teruel;1-Ingeniería Electrónica y Automática;Grado;69;12;27;9;0;0;0;22;4;5;3684.00;482.00;4.88;82.53;68.67;86.20;;;16/04/2023
2021;Escuela de Ingeniería y Arquitectura;1-Ingeniería Informática;Grado;462;100;100;75;0;0;0;132;21;17;25192.00;1368.50;4.87;88.34;76.06;89.07;;;16/04/2023
2021;Escuela Universitaria Politécnica de Teruel;1-Ingeniería Informática;Grado;114;25;25;16;0;0;0;19;5;6;6020.00;216.00;6.00;78.99;64.87;77.05;;;16/04/2023
2021;Escuela de Ingeniería y Arquitectura;1-Ingeniería Mecánica;Grado;791;191;216;113;0;0;1;185;31;22;40456.00;2713.50;5.60;73.06;56.59;76.16;;;16/04/2023
2021;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Ingeniería Mecatrónica;Grado;238;41;56;27;0;0;0;79;11;5;11984.00;1168.50;4.91;79.50;66.25;88.21;;;16/04/2023
2021;Escuela de Ingeniería y Arquitectura;1-Ingeniería Química;Grado;287;67;90;28;0;0;0;55;7;15;15362.00;454.50;5.29;75.91;62.13;81.98;;;16/04/2023
2021;Facultad de Filosofía y Letras;1-Lenguas Modernas;Grado;183;46;55;15;0;0;0;6;133;23;9744.00;165.50;4.67;88.65;80.63;90.28;;;16/04/2023
2021;Facultad de Derecho;1-Programa conjunto en Derecho-Administración y Dirección de Empresas;Grado;444;80;80;0;0;0;0;73;2;49;30159.00;309.00;;94.74;90.72;;;;16/04/2023
2021;Escuela de Ingeniería y Arquitectura;1-Estudios en Arquitectura;Grado;327;70;70;33;0;0;0;59;29;30;19033.00;247.00;6.29;81.15;69.21;80.81;;;16/04/2023
2021;Facultad de Ciencias;1-Programa conjunto Física-Matemáticas (FisMat);Grado;59;10;10;0;0;0;0;22;;4;4426.50;356.50;;98.47;95.07;;;;16/04/2023
2021;Facultad de Ciencias de la Salud y del Deporte;1-Programa conjunto en Nutrición Humana y Dietética-Ciencias de la Actividad Física y del Deporte;Grado;31;11;10;0;0;0;0;0;;0;2445.00;0.00;;96.91;95.01;;;;16/04/2023
2021;Escuela de Ingeniería y Arquitectura;1-Programa conjunto en Matemáticas-Ingeniería Informática;Grado;28;10;10;0;0;0;0;8;;0;2193.50;16.00;;94.17;93.91;;;;16/04/2023
2021;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Programa conjunto en Ingeniería Mecatrónica-Ingeniería de Organización  Industrial;Grado;30;11;10;0;0;0;0;3;;1;1968.00;98.00;;86.73;84.01;;;;16/04/2023
2021;Facultad de Ciencias Sociales y Humanas de Teruel;1-Psicología;Grado;169;81;85;0;0;0;0;13;13;0;10152.00;203.00;;90.31;88.18;;;;16/04/2023
2021;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Ingeniería de Datos en Procesos Industriales;Grado;48;48;60;;0;0;;4;;0;2784.00;90.00;;83.18;75.65;;;;16/04/2023
2021;Escuela Universitaria Politécnica de Teruel;1-Ingeniería Informática-Administración y Dirección de Empresas;Grado;10;10;10;;0;0;;1;;0;714.00;6.00;;68.89;52.10;;;;16/04/2023
2021;Facultad de Economía y Empresa;5-Ciencias Empresariales;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Facultad de Derecho;5-Derecho;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Facultad de Economía y Empresa;6-Diplomado Ciencias Empresariales;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Facultad de Ciencias;5-Físicas;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Centro Politécnico Superior;5-Ingeniero Industrial;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Facultad de Ciencias de la Salud;6-Terapia Ocupacional;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Facultad de Ciencias Sociales y del Trabajo;6-Trabajo Social;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Facultad de Filosofía y Letras;5-Filología Hispánica;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Facultad de Filosofía y Letras;6-Filología Inglesa;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Facultad de Filosofía y Letras;5-Geografía e Historia;Licenciatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Escuela Universitaria de Ingeniería Técnica Industrial;6-Ingeniero Técnico Industrial;Diplomatura o equivalente;;;;0;;;0;;;;;;;;;;;;16/04/2023
2021;Facultad de Ciencias;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;41;0;;;0;0;;0;47;0;1291.00;0.00;;100.00;100.00;;;;16/04/2023
2021;Facultad de Derecho;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;55;0;;;0;0;;0;;0;1755.00;0.00;;;;;;;16/04/2023
2021;Facultad de Filosofía y Letras;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;289;0;;;0;0;;0;;0;10583.50;0.00;;;;;;;16/04/2023
2021;Facultad de Medicina;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;84;0;;;0;0;;0;;0;4971.50;0.00;;;;;;;16/04/2023
2021;Facultad de Veterinaria;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;42;0;;;0;0;;0;;0;1569.00;0.00;;;;;;;16/04/2023
2021;Facultad de Educación;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;22;0;;;0;0;;0;;0;716.00;0.00;;;;;;;16/04/2023
2021;Facultad de Ciencias Sociales y del Trabajo;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;34;0;;;0;0;;0;;0;853.00;0.00;;;;;;;16/04/2023
2021;Facultad de Economía y Empresa;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;206;0;;;0;0;;0;;0;5824.00;0.00;;;;;;;16/04/2023
2021;Escuela de Ingeniería y Arquitectura;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;109;0;;;0;0;;0;;0;3329.00;0.00;;100.00;100.00;;;;16/04/2023
2021;Facultad de Ciencias de la Salud;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;19;0;;;0;0;;0;;0;702.00;0.00;;100.00;100.00;;;;16/04/2023
2021;UNITA;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;29;0;;;0;0;;;;0;0.00;;;;;;;;16/04/2023
2021;Escuela Universitaria Politécnica de la Almunia de Doña Godina;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;31;0;;;0;0;;0;;0;992.00;0.00;;;;;;;16/04/2023
2021;Escuela Universitaria de Turismo de Zaragoza;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;11;0;;;0;0;;0;;0;446.00;0.00;;;;;;;16/04/2023
2021;Escuela Politécnica Superior;4-Movilidad para 1º y 2º ciclo y grado;Movilidad de entrada;5;0;;;0;0;;0;;0;134.00;0.00;;;;;;;16/04/2023
